consumer_price_index_item,month_of_forecast,year_of_forecast,year_being_forecast,attribute,forecast_percent_change
Fresh vegetables,November,2018,2018,Lower bound of forecast range,0.0
Fresh vegetables,October,2018,2018,Upper bound of forecast range,1.0
Food at home,May,2018,2018,Upper bound of forecast range,1.5
Fresh vegetables,October,2018,2018,Lower bound of forecast range,0.0
Fresh vegetables,September,2018,2018,Lower bound of forecast range,0.0
Fresh vegetables,August,2018,2018,Upper bound of forecast range,1.0
Fresh vegetables,August,2018,2018,Lower bound of forecast range,0.0
Fresh vegetables,July,2018,2018,Upper bound of forecast range,0.5
Fresh vegetables,July,2018,2018,Lower bound of forecast range,-0.5
Fresh vegetables,June,2018,2018,Upper bound of forecast range,0.5
Fresh vegetables,June,2018,2018,Lower bound of forecast range,-0.5
Fresh vegetables,May,2018,2018,Upper bound of forecast range,0.5
Fresh vegetables,May,2018,2018,Lower bound of forecast range,-0.5
Fresh vegetables,April,2018,2018,Upper bound of forecast range,0.5
Fresh vegetables,April,2018,2018,Lower bound of forecast range,-0.5
Fresh vegetables,March,2018,2018,Upper bound of forecast range,0.5
Fresh vegetables,September,2018,2018,Upper bound of forecast range,1.0
Fats and oils,January,2018,2018,Upper bound of forecast range,-1.5
Dairy products,December,2018,2018,Lower bound of forecast range,-1.0
"Meats, poultry, and fish",July,2018,2018,Lower bound of forecast range,0.5
Other meats,June,2018,2018,Upper bound of forecast range,1.5
Other meats,June,2018,2018,Lower bound of forecast range,0.5
Other meats,May,2018,2018,Upper bound of forecast range,1.5
Other meats,May,2018,2018,Lower bound of forecast range,0.5
Other meats,April,2018,2018,Upper bound of forecast range,1.5
Other meats,April,2018,2018,Lower bound of forecast range,0.5
Other meats,March,2018,2018,Upper bound of forecast range,1.5
Other meats,March,2018,2018,Lower bound of forecast range,0.5
Other meats,February,2018,2018,Upper bound of forecast range,1.5
Other meats,February,2018,2018,Lower bound of forecast range,0.5
Other meats,January,2018,2018,Upper bound of forecast range,2.0
Other meats,January,2018,2018,Lower bound of forecast range,1.0
Meats,October,2018,2018,Lower bound of forecast range,0.0
Meats,October,2018,2018,Upper bound of forecast range,1.0
Pork,December,2018,2018,Upper bound of forecast range,0.25
Pork,December,2018,2018,Lower bound of forecast range,-0.75
Pork,November,2018,2018,Upper bound of forecast range,0.25
Pork,November,2018,2018,Lower bound of forecast range,-0.75
All food,October,2018,2018,Upper bound of forecast range,1.75
All food,October,2018,2018,Lower bound of forecast range,0.75
All food,September,2018,2018,Upper bound of forecast range,1.75
All food,September,2018,2018,Lower bound of forecast range,0.75
All food,August,2018,2018,Upper bound of forecast range,1.75
All food,August,2018,2018,Lower bound of forecast range,0.75
Meats,November,2018,2018,Lower bound of forecast range,0.0
Other meats,July,2018,2018,Lower bound of forecast range,0.0
Other meats,July,2018,2018,Upper bound of forecast range,1.0
Other meats,August,2018,2018,Lower bound of forecast range,0.0
Other meats,August,2018,2018,Upper bound of forecast range,1.0
Poultry,March,2018,2018,Upper bound of forecast range,2.5
Poultry,March,2018,2018,Lower bound of forecast range,1.5
Poultry,February,2018,2018,Upper bound of forecast range,2.5
Poultry,February,2018,2018,Lower bound of forecast range,1.5
Poultry,January,2018,2018,Upper bound of forecast range,2.5
Poultry,January,2018,2018,Lower bound of forecast range,1.5
Meats,April,2018,2018,Lower bound of forecast range,0.25
Meats,April,2018,2018,Upper bound of forecast range,1.25
Meats,May,2018,2018,Lower bound of forecast range,0.25
Meats,May,2018,2018,Upper bound of forecast range,1.25
Meats,June,2018,2018,Lower bound of forecast range,0.25
Meats,June,2018,2018,Upper bound of forecast range,1.25
Meats,November,2018,2018,Upper bound of forecast range,1.0
Meats,July,2018,2018,Lower bound of forecast range,0.25
Meats,August,2018,2018,Lower bound of forecast range,0.25
Meats,August,2018,2018,Upper bound of forecast range,1.25
Meats,September,2018,2018,Lower bound of forecast range,0.25
Meats,September,2018,2018,Upper bound of forecast range,1.25
Other meats,December,2018,2018,Upper bound of forecast range,0.25
Other meats,December,2018,2018,Lower bound of forecast range,-0.75
Other meats,November,2018,2018,Upper bound of forecast range,0.25
Other meats,November,2018,2018,Lower bound of forecast range,-0.75
Other meats,October,2018,2018,Upper bound of forecast range,0.25
Other meats,October,2018,2018,Lower bound of forecast range,-0.75
Other meats,September,2018,2018,Upper bound of forecast range,0.5
Other meats,September,2018,2018,Lower bound of forecast range,-0.5
Meats,July,2018,2018,Upper bound of forecast range,1.25
Poultry,April,2018,2018,Lower bound of forecast range,1.5
Meats,December,2018,2018,Lower bound of forecast range,0.0
All food,July,2018,2018,Upper bound of forecast range,1.75
All food,February,2018,2018,Lower bound of forecast range,1.0
Beef and veal,January,2018,2018,Lower bound of forecast range,1.5
Beef and veal,January,2018,2018,Upper bound of forecast range,2.5
Beef and veal,February,2018,2018,Lower bound of forecast range,0.5
Beef and veal,February,2018,2018,Upper bound of forecast range,1.5
Beef and veal,March,2018,2018,Lower bound of forecast range,0.5
Beef and veal,March,2018,2018,Upper bound of forecast range,1.5
Beef and veal,December,2018,2018,Upper bound of forecast range,2.25
Beef and veal,December,2018,2018,Lower bound of forecast range,1.25
Beef and veal,November,2018,2018,Upper bound of forecast range,2.25
Beef and veal,November,2018,2018,Lower bound of forecast range,1.25
Beef and veal,April,2018,2018,Lower bound of forecast range,0.5
Beef and veal,April,2018,2018,Upper bound of forecast range,1.5
Beef and veal,May,2018,2018,Lower bound of forecast range,0.5
Beef and veal,May,2018,2018,Upper bound of forecast range,1.5
Beef and veal,June,2018,2018,Lower bound of forecast range,0.5
Beef and veal,June,2018,2018,Upper bound of forecast range,1.5
Beef and veal,July,2018,2018,Lower bound of forecast range,0.5
Beef and veal,July,2018,2018,Upper bound of forecast range,1.5
Beef and veal,August,2018,2018,Lower bound of forecast range,0.5
Beef and veal,August,2018,2018,Upper bound of forecast range,1.5
Beef and veal,September,2018,2018,Lower bound of forecast range,1.0
Beef and veal,September,2018,2018,Upper bound of forecast range,2.0
Beef and veal,October,2018,2018,Lower bound of forecast range,1.25
Beef and veal,October,2018,2018,Upper bound of forecast range,2.25
All food,February,2018,2018,Upper bound of forecast range,2.0
All food,March,2018,2018,Lower bound of forecast range,1.0
All food,March,2018,2018,Upper bound of forecast range,2.0
All food,April,2018,2018,Lower bound of forecast range,1.0
All food,July,2018,2018,Lower bound of forecast range,0.75
All food,June,2018,2018,Upper bound of forecast range,2.0
All food,June,2018,2018,Lower bound of forecast range,1.0
All food,May,2018,2018,Upper bound of forecast range,2.0
All food,May,2018,2018,Lower bound of forecast range,1.0
Pork,October,2018,2018,Upper bound of forecast range,0.0
Pork,October,2018,2018,Lower bound of forecast range,-1.0
Pork,September,2018,2018,Upper bound of forecast range,0.0
Pork,September,2018,2018,Lower bound of forecast range,-1.0
Pork,August,2018,2018,Upper bound of forecast range,0.0
Pork,August,2018,2018,Lower bound of forecast range,-1.0
Pork,July,2018,2018,Upper bound of forecast range,0.0
Meats,December,2018,2018,Upper bound of forecast range,1.0
Pork,July,2018,2018,Lower bound of forecast range,-1.0
Pork,June,2018,2018,Lower bound of forecast range,-1.0
Pork,May,2018,2018,Upper bound of forecast range,0.0
Pork,May,2018,2018,Lower bound of forecast range,-1.0
Pork,April,2018,2018,Upper bound of forecast range,0.0
Pork,April,2018,2018,Lower bound of forecast range,-1.0
Pork,March,2018,2018,Upper bound of forecast range,0.0
Pork,March,2018,2018,Lower bound of forecast range,-1.0
Pork,February,2018,2018,Upper bound of forecast range,0.5
Pork,February,2018,2018,Lower bound of forecast range,-0.5
Pork,January,2018,2018,Upper bound of forecast range,0.5
Pork,January,2018,2018,Lower bound of forecast range,-0.5
All food,April,2018,2018,Upper bound of forecast range,2.0
Pork,June,2018,2018,Upper bound of forecast range,0.0
Poultry,April,2018,2018,Upper bound of forecast range,2.5
Poultry,May,2018,2018,Lower bound of forecast range,1.5
Poultry,May,2018,2018,Upper bound of forecast range,2.5
Dairy products,March,2018,2018,Lower bound of forecast range,0.5
Dairy products,February,2018,2018,Upper bound of forecast range,2.5
Dairy products,February,2018,2018,Lower bound of forecast range,1.5
Dairy products,January,2018,2018,Upper bound of forecast range,2.5
Dairy products,January,2018,2018,Lower bound of forecast range,1.5
Food away from home,February,2018,2018,Upper bound of forecast range,3.0
Food away from home,February,2018,2018,Lower bound of forecast range,2.0
Food away from home,January,2018,2018,Upper bound of forecast range,3.0
Food away from home,January,2018,2018,Lower bound of forecast range,2.0
Eggs,December,2018,2018,Upper bound of forecast range,11.0
Eggs,December,2018,2018,Lower bound of forecast range,10.0
Eggs,November,2018,2018,Upper bound of forecast range,10.0
Eggs,November,2018,2018,Lower bound of forecast range,9.0
Eggs,October,2018,2018,Upper bound of forecast range,10.0
Eggs,October,2018,2018,Lower bound of forecast range,9.0
Eggs,September,2018,2018,Upper bound of forecast range,10.0
Eggs,September,2018,2018,Lower bound of forecast range,9.0
Eggs,August,2018,2018,Upper bound of forecast range,10.0
Eggs,August,2018,2018,Lower bound of forecast range,9.0
Eggs,July,2018,2018,Upper bound of forecast range,7.0
Eggs,July,2018,2018,Lower bound of forecast range,6.0
Eggs,June,2018,2018,Upper bound of forecast range,7.0
Eggs,June,2018,2018,Lower bound of forecast range,6.0
Eggs,May,2018,2018,Upper bound of forecast range,7.0
Eggs,May,2018,2018,Lower bound of forecast range,6.0
Dairy products,March,2018,2018,Upper bound of forecast range,1.5
Dairy products,April,2018,2018,Lower bound of forecast range,0.5
Dairy products,April,2018,2018,Upper bound of forecast range,1.5
Dairy products,May,2018,2018,Lower bound of forecast range,0.0
"Meats, poultry, and fish",July,2018,2018,Upper bound of forecast range,1.5
"Meats, poultry, and fish",August,2018,2018,Lower bound of forecast range,0.5
"Meats, poultry, and fish",August,2018,2018,Upper bound of forecast range,1.5
"Meats, poultry, and fish",September,2018,2018,Lower bound of forecast range,0.5
"Meats, poultry, and fish",September,2018,2018,Upper bound of forecast range,1.5
"Meats, poultry, and fish",October,2018,2018,Lower bound of forecast range,0.5
"Meats, poultry, and fish",October,2018,2018,Upper bound of forecast range,1.5
Food away from home,April,2018,2018,Upper bound of forecast range,3.0
Food away from home,April,2018,2018,Lower bound of forecast range,2.0
Food away from home,March,2018,2018,Upper bound of forecast range,3.0
Food away from home,March,2018,2018,Lower bound of forecast range,2.0
Dairy products,December,2018,2018,Upper bound of forecast range,0.0
Eggs,April,2018,2018,Upper bound of forecast range,7.0
All food,January,2018,2018,Lower bound of forecast range,1.5
Dairy products,November,2018,2018,Lower bound of forecast range,-1.0
Dairy products,October,2018,2018,Upper bound of forecast range,0.0
Dairy products,October,2018,2018,Lower bound of forecast range,-1.0
Dairy products,September,2018,2018,Upper bound of forecast range,0.0
Dairy products,September,2018,2018,Lower bound of forecast range,-1.0
Dairy products,August,2018,2018,Upper bound of forecast range,0.0
Dairy products,August,2018,2018,Lower bound of forecast range,-1.0
Dairy products,July,2018,2018,Upper bound of forecast range,0.0
Dairy products,July,2018,2018,Lower bound of forecast range,-1.0
Dairy products,June,2018,2018,Upper bound of forecast range,0.5
Dairy products,June,2018,2018,Lower bound of forecast range,-0.5
Dairy products,May,2018,2018,Upper bound of forecast range,1.0
Dairy products,November,2018,2018,Upper bound of forecast range,0.0
Eggs,April,2018,2018,Lower bound of forecast range,6.0
Eggs,March,2018,2018,Upper bound of forecast range,4.0
Eggs,March,2018,2018,Lower bound of forecast range,3.0
Fish and seafood,March,2018,2018,Upper bound of forecast range,1.5
Fish and seafood,March,2018,2018,Lower bound of forecast range,0.5
Fish and seafood,February,2018,2018,Upper bound of forecast range,1.5
Fish and seafood,February,2018,2018,Lower bound of forecast range,0.5
Fish and seafood,January,2018,2018,Upper bound of forecast range,1.5
Fish and seafood,January,2018,2018,Lower bound of forecast range,0.5
Meats,January,2018,2018,Lower bound of forecast range,1.0
Meats,January,2018,2018,Upper bound of forecast range,2.0
Meats,February,2018,2018,Lower bound of forecast range,0.25
Meats,February,2018,2018,Upper bound of forecast range,1.25
Meats,March,2018,2018,Lower bound of forecast range,0.25
Meats,March,2018,2018,Upper bound of forecast range,1.25
Fish and seafood,April,2018,2018,Lower bound of forecast range,0.5
Poultry,December,2018,2018,Upper bound of forecast range,1.0
Poultry,November,2018,2018,Upper bound of forecast range,1.0
Poultry,November,2018,2018,Lower bound of forecast range,0.0
Poultry,October,2018,2018,Upper bound of forecast range,1.0
Poultry,October,2018,2018,Lower bound of forecast range,0.0
Poultry,September,2018,2018,Upper bound of forecast range,1.5
Poultry,September,2018,2018,Lower bound of forecast range,0.5
Poultry,August,2018,2018,Upper bound of forecast range,1.5
Poultry,August,2018,2018,Lower bound of forecast range,0.5
Poultry,July,2018,2018,Upper bound of forecast range,1.5
Poultry,July,2018,2018,Lower bound of forecast range,0.5
Poultry,June,2018,2018,Upper bound of forecast range,2.0
Poultry,June,2018,2018,Lower bound of forecast range,1.0
Poultry,December,2018,2018,Lower bound of forecast range,0.0
Fats and oils,January,2018,2018,Lower bound of forecast range,-2.5
Fish and seafood,April,2018,2018,Upper bound of forecast range,1.5
Fish and seafood,May,2018,2018,Upper bound of forecast range,1.5
Eggs,February,2018,2018,Upper bound of forecast range,1.0
Eggs,February,2018,2018,Lower bound of forecast range,0.0
Eggs,January,2018,2018,Upper bound of forecast range,5.0
Eggs,January,2018,2018,Lower bound of forecast range,4.0
"Meats, poultry, and fish",November,2018,2018,Lower bound of forecast range,0.5
"Meats, poultry, and fish",November,2018,2018,Upper bound of forecast range,1.5
"Meats, poultry, and fish",December,2018,2018,Lower bound of forecast range,0.5
"Meats, poultry, and fish",December,2018,2018,Upper bound of forecast range,1.5
All food,December,2018,2018,Upper bound of forecast range,1.75
All food,December,2018,2018,Lower bound of forecast range,0.75
All food,November,2018,2018,Upper bound of forecast range,1.75
All food,November,2018,2018,Lower bound of forecast range,0.75
Fish and seafood,May,2018,2018,Lower bound of forecast range,0.5
Fish and seafood,December,2018,2018,Upper bound of forecast range,2.25
Fish and seafood,November,2018,2018,Upper bound of forecast range,2.25
Fish and seafood,November,2018,2018,Lower bound of forecast range,1.25
Fish and seafood,October,2018,2018,Upper bound of forecast range,2.0
Fish and seafood,October,2018,2018,Lower bound of forecast range,1.0
Fish and seafood,September,2018,2018,Upper bound of forecast range,2.0
Fish and seafood,September,2018,2018,Lower bound of forecast range,1.0
Fish and seafood,August,2018,2018,Upper bound of forecast range,1.5
Fish and seafood,August,2018,2018,Lower bound of forecast range,0.5
Fish and seafood,July,2018,2018,Upper bound of forecast range,1.5
Fish and seafood,July,2018,2018,Lower bound of forecast range,0.5
Fish and seafood,June,2018,2018,Upper bound of forecast range,1.5
Fish and seafood,June,2018,2018,Lower bound of forecast range,0.5
Fish and seafood,December,2018,2018,Lower bound of forecast range,1.25
All food,July,2018,2019,Mid point of prediction interval,1.3
Fresh fruits and vegetables,July,2018,2019,Lower bound of prediction interval,-7.0
Sugar and sweets,July,2018,2019,Upper bound of forecast range,1.0
Dairy products,December,2018,2018,Upper bound of prediction interval,-0.3
Dairy products,December,2018,2018,Mid point of prediction interval,-0.5
Dairy products,December,2018,2018,Lower bound of prediction interval,-0.7
Dairy products,November,2018,2018,Upper bound of prediction interval,-0.1
Dairy products,November,2018,2018,Mid point of prediction interval,-0.4
Dairy products,November,2018,2018,Lower bound of prediction interval,-0.8
Dairy products,October,2018,2018,Upper bound of prediction interval,0.2
Dairy products,October,2018,2018,Mid point of prediction interval,-0.4
Dairy products,October,2018,2018,Lower bound of prediction interval,-1.0
Dairy products,September,2018,2018,Upper bound of prediction interval,0.6
Dairy products,September,2018,2018,Mid point of prediction interval,-0.4
Dairy products,September,2018,2018,Lower bound of prediction interval,-1.3
Dairy products,August,2018,2018,Upper bound of prediction interval,0.6
Dairy products,August,2018,2018,Mid point of prediction interval,-0.7
Dairy products,August,2018,2018,Lower bound of prediction interval,-1.9
Dairy products,July,2018,2018,Upper bound of prediction interval,1.3
Dairy products,July,2018,2018,Mid point of prediction interval,-0.4
Dairy products,July,2018,2018,Lower bound of prediction interval,-2.1
Dairy products,June,2018,2018,Upper bound of prediction interval,1.3
Dairy products,June,2018,2018,Mid point of prediction interval,-0.8
Dairy products,June,2018,2018,Lower bound of prediction interval,-2.9
Dairy products,May,2018,2018,Upper bound of prediction interval,2.5
Dairy products,May,2018,2018,Mid point of prediction interval,-0.2
Fats and oils,January,2018,2018,Lower bound of prediction interval,-7.2
Fats and oils,January,2018,2018,Mid point of prediction interval,-2.0
Fats and oils,January,2018,2018,Upper bound of prediction interval,3.7
Fats and oils,February,2018,2018,Lower bound of prediction interval,-5.4
Fats and oils,October,2018,2018,Lower bound of prediction interval,-0.1
Fats and oils,September,2018,2018,Upper bound of prediction interval,1.2
Fats and oils,September,2018,2018,Mid point of prediction interval,0.3
Fats and oils,September,2018,2018,Lower bound of prediction interval,-0.6
Fats and oils,August,2018,2018,Upper bound of prediction interval,1.8
Fats and oils,August,2018,2018,Mid point of prediction interval,0.5
Fats and oils,August,2018,2018,Lower bound of prediction interval,-0.8
Fats and oils,July,2018,2018,Upper bound of prediction interval,1.8
Fats and oils,July,2018,2018,Mid point of prediction interval,0.1
Fats and oils,July,2018,2018,Lower bound of prediction interval,-1.5
Fats and oils,June,2018,2018,Upper bound of prediction interval,2.8
Dairy products,May,2018,2018,Lower bound of prediction interval,-2.7
Fats and oils,June,2018,2018,Mid point of prediction interval,0.5
Fats and oils,May,2018,2018,Upper bound of prediction interval,4.0
Fats and oils,May,2018,2018,Mid point of prediction interval,1.2
Fats and oils,May,2018,2018,Lower bound of prediction interval,-1.5
Fats and oils,April,2018,2018,Upper bound of prediction interval,3.8
Fats and oils,April,2018,2018,Mid point of prediction interval,0.3
Fats and oils,April,2018,2018,Lower bound of prediction interval,-3.0
Fats and oils,March,2018,2018,Upper bound of prediction interval,4.9
Fats and oils,March,2018,2018,Mid point of prediction interval,0.8
Fats and oils,March,2018,2018,Lower bound of prediction interval,-3.2
Fats and oils,February,2018,2018,Upper bound of prediction interval,4.0
Fats and oils,February,2018,2018,Mid point of prediction interval,-0.8
Fats and oils,June,2018,2018,Lower bound of prediction interval,-1.6
Dairy products,April,2018,2018,Upper bound of prediction interval,2.9
Dairy products,April,2018,2018,Mid point of prediction interval,-0.4
Dairy products,April,2018,2018,Lower bound of prediction interval,-3.4
Eggs,June,2018,2018,Mid point of prediction interval,15.1
Eggs,June,2018,2018,Lower bound of prediction interval,6.2
Eggs,May,2018,2018,Upper bound of prediction interval,33.3
Eggs,May,2018,2018,Mid point of prediction interval,19.9
Eggs,May,2018,2018,Lower bound of prediction interval,8.6
Eggs,April,2018,2018,Upper bound of prediction interval,29.2
Eggs,April,2018,2018,Mid point of prediction interval,14.4
Eggs,April,2018,2018,Lower bound of prediction interval,2.0
Eggs,March,2018,2018,Upper bound of prediction interval,30.3
Eggs,March,2018,2018,Mid point of prediction interval,13.3
Eggs,March,2018,2018,Lower bound of prediction interval,-1.0
Eggs,June,2018,2018,Upper bound of prediction interval,25.7
Eggs,February,2018,2018,Upper bound of prediction interval,30.1
Eggs,February,2018,2018,Lower bound of prediction interval,-5.6
Eggs,January,2018,2018,Upper bound of prediction interval,31.8
Eggs,January,2018,2018,Mid point of prediction interval,9.9
Eggs,January,2018,2018,Lower bound of prediction interval,-7.9
Fish and seafood,December,2018,2018,Upper bound of prediction interval,2.3
Fish and seafood,December,2018,2018,Mid point of prediction interval,2.1
Fish and seafood,December,2018,2018,Lower bound of prediction interval,1.9
Fish and seafood,November,2018,2018,Upper bound of prediction interval,2.4
Fish and seafood,November,2018,2018,Mid point of prediction interval,2.1
Fish and seafood,November,2018,2018,Lower bound of prediction interval,1.7
Fish and seafood,October,2018,2018,Upper bound of prediction interval,2.7
Eggs,February,2018,2018,Mid point of prediction interval,10.6
Fats and oils,October,2018,2018,Mid point of prediction interval,0.5
Eggs,July,2018,2018,Lower bound of prediction interval,3.6
Eggs,July,2018,2018,Upper bound of prediction interval,18.2
Dairy products,March,2018,2018,Upper bound of prediction interval,3.0
Dairy products,March,2018,2018,Mid point of prediction interval,-0.8
Dairy products,March,2018,2018,Lower bound of prediction interval,-4.4
Dairy products,February,2018,2018,Upper bound of prediction interval,4.9
Dairy products,February,2018,2018,Mid point of prediction interval,0.5
Dairy products,February,2018,2018,Lower bound of prediction interval,-3.7
Dairy products,January,2018,2018,Upper bound of prediction interval,4.7
Dairy products,January,2018,2018,Mid point of prediction interval,-0.2
Dairy products,January,2018,2018,Lower bound of prediction interval,-5.0
Eggs,December,2018,2018,Upper bound of prediction interval,11.5
Eggs,December,2018,2018,Mid point of prediction interval,10.7
Eggs,July,2018,2018,Mid point of prediction interval,10.3
Eggs,December,2018,2018,Lower bound of prediction interval,9.9
Eggs,November,2018,2018,Mid point of prediction interval,10.7
Eggs,November,2018,2018,Lower bound of prediction interval,9.1
Eggs,October,2018,2018,Upper bound of prediction interval,14.2
Eggs,October,2018,2018,Mid point of prediction interval,11.1
Eggs,October,2018,2018,Lower bound of prediction interval,8.4
Eggs,September,2018,2018,Upper bound of prediction interval,16.3
Eggs,September,2018,2018,Mid point of prediction interval,11.6
Eggs,September,2018,2018,Lower bound of prediction interval,7.5
Eggs,August,2018,2018,Upper bound of prediction interval,17.9
Eggs,August,2018,2018,Mid point of prediction interval,11.6
Eggs,August,2018,2018,Lower bound of prediction interval,6.2
Eggs,November,2018,2018,Upper bound of prediction interval,12.6
Fats and oils,October,2018,2018,Upper bound of prediction interval,1.1
Fats and oils,November,2018,2018,Lower bound of prediction interval,0.0
Fats and oils,November,2018,2018,Mid point of prediction interval,0.4
Fresh fruits,February,2018,2018,Lower bound of prediction interval,-3.3
Fresh fruits,January,2018,2018,Upper bound of prediction interval,8.4
Fresh fruits,January,2018,2018,Mid point of prediction interval,1.1
Fresh fruits,January,2018,2018,Lower bound of prediction interval,-5.4
Fresh fruits and vegetables,December,2018,2018,Upper bound of prediction interval,1.2
Fresh fruits and vegetables,December,2018,2018,Mid point of prediction interval,0.9
Fresh fruits and vegetables,December,2018,2018,Lower bound of prediction interval,0.6
Fresh fruits and vegetables,November,2018,2018,Upper bound of prediction interval,1.6
Fresh fruits and vegetables,November,2018,2018,Mid point of prediction interval,1.0
Fresh fruits and vegetables,November,2018,2018,Lower bound of prediction interval,0.3
Fresh fruits and vegetables,October,2018,2018,Upper bound of prediction interval,2.0
Fresh fruits,February,2018,2018,Mid point of prediction interval,2.6
Fresh fruits and vegetables,October,2018,2018,Mid point of prediction interval,0.9
Fresh fruits and vegetables,September,2018,2018,Upper bound of prediction interval,2.2
Fresh fruits and vegetables,September,2018,2018,Mid point of prediction interval,0.7
Fresh fruits and vegetables,September,2018,2018,Lower bound of prediction interval,-0.7
Fresh fruits and vegetables,August,2018,2018,Upper bound of prediction interval,2.9
Fresh fruits and vegetables,August,2018,2018,Mid point of prediction interval,0.9
Fresh fruits and vegetables,August,2018,2018,Lower bound of prediction interval,-1.0
Fresh fruits and vegetables,July,2018,2018,Upper bound of prediction interval,2.8
Fresh fruits and vegetables,July,2018,2018,Mid point of prediction interval,0.4
Fresh fruits and vegetables,July,2018,2018,Lower bound of prediction interval,-1.9
Fresh fruits and vegetables,June,2018,2018,Upper bound of prediction interval,3.7
Fresh fruits and vegetables,June,2018,2018,Mid point of prediction interval,0.8
Fresh fruits and vegetables,October,2018,2018,Lower bound of prediction interval,-0.1
Fresh fruits and vegetables,June,2018,2018,Lower bound of prediction interval,-2.0
Fresh fruits,February,2018,2018,Upper bound of prediction interval,9.1
Fresh fruits,March,2018,2018,Mid point of prediction interval,1.5
Fresh fruits,November,2018,2018,Mid point of prediction interval,1.2
Fresh fruits,November,2018,2018,Lower bound of prediction interval,0.6
Fresh fruits,October,2018,2018,Upper bound of prediction interval,2.6
Fresh fruits,October,2018,2018,Mid point of prediction interval,1.4
Fresh fruits,October,2018,2018,Lower bound of prediction interval,0.3
Fresh fruits,September,2018,2018,Upper bound of prediction interval,2.6
Fresh fruits,September,2018,2018,Mid point of prediction interval,1.0
Fresh fruits,September,2018,2018,Lower bound of prediction interval,-0.5
Fresh fruits,August,2018,2018,Upper bound of prediction interval,3.5
Fresh fruits,August,2018,2018,Mid point of prediction interval,1.4
Fresh fruits,August,2018,2018,Lower bound of prediction interval,-0.7
Fresh fruits,March,2018,2018,Lower bound of prediction interval,-3.6
Fresh fruits,July,2018,2018,Upper bound of prediction interval,3.7
Fresh fruits,July,2018,2018,Lower bound of prediction interval,-1.5
Fresh fruits,June,2018,2018,Upper bound of prediction interval,4.8
Fresh fruits,June,2018,2018,Mid point of prediction interval,1.4
Fresh fruits,June,2018,2018,Lower bound of prediction interval,-1.7
Fresh fruits,May,2018,2018,Upper bound of prediction interval,5.7
Fresh fruits,May,2018,2018,Mid point of prediction interval,1.7
Fresh fruits,May,2018,2018,Lower bound of prediction interval,-2.1
Fresh fruits,April,2018,2018,Upper bound of prediction interval,5.2
Fresh fruits,April,2018,2018,Mid point of prediction interval,0.4
Fresh fruits,April,2018,2018,Lower bound of prediction interval,-3.9
Fresh fruits,March,2018,2018,Upper bound of prediction interval,7.2
Fresh fruits,July,2018,2018,Mid point of prediction interval,1.0
Fish and seafood,October,2018,2018,Mid point of prediction interval,2.1
Fresh fruits and vegetables,May,2018,2018,Upper bound of prediction interval,4.3
Fresh fruits and vegetables,May,2018,2018,Lower bound of prediction interval,-2.3
Fruits and vegetables,July,2018,2018,Mid point of prediction interval,0.2
Fruits and vegetables,July,2018,2018,Lower bound of prediction interval,-1.8
Fruits and vegetables,June,2018,2018,Upper bound of prediction interval,3.0
Fruits and vegetables,June,2018,2018,Mid point of prediction interval,0.4
Fruits and vegetables,June,2018,2018,Lower bound of prediction interval,-2.0
Fruits and vegetables,May,2018,2018,Upper bound of prediction interval,3.8
Fruits and vegetables,May,2018,2018,Mid point of prediction interval,0.7
Fruits and vegetables,May,2018,2018,Lower bound of prediction interval,-2.2
Fruits and vegetables,April,2018,2018,Upper bound of prediction interval,3.5
Fruits and vegetables,April,2018,2018,Mid point of prediction interval,-0.1
Fruits and vegetables,April,2018,2018,Lower bound of prediction interval,-3.5
Fruits and vegetables,July,2018,2018,Upper bound of prediction interval,2.3
Fruits and vegetables,March,2018,2018,Upper bound of prediction interval,4.9
Fruits and vegetables,March,2018,2018,Lower bound of prediction interval,-3.3
Fruits and vegetables,February,2018,2018,Upper bound of prediction interval,7.0
Fruits and vegetables,February,2018,2018,Mid point of prediction interval,2.1
Fruits and vegetables,February,2018,2018,Lower bound of prediction interval,-2.6
Fruits and vegetables,January,2018,2018,Upper bound of prediction interval,7.0
Fruits and vegetables,January,2018,2018,Mid point of prediction interval,0.3
Fruits and vegetables,January,2018,2018,Lower bound of prediction interval,-6.0
Fats and oils,December,2018,2018,Upper bound of prediction interval,0.4
Fats and oils,December,2018,2018,Mid point of prediction interval,0.2
Fats and oils,December,2018,2018,Lower bound of prediction interval,0.0
Fats and oils,November,2018,2018,Upper bound of prediction interval,0.8
Fruits and vegetables,March,2018,2018,Mid point of prediction interval,0.7
Fresh fruits and vegetables,May,2018,2018,Mid point of prediction interval,0.9
Fruits and vegetables,August,2018,2018,Lower bound of prediction interval,-0.9
Fruits and vegetables,August,2018,2018,Upper bound of prediction interval,2.3
Fresh fruits and vegetables,April,2018,2018,Upper bound of prediction interval,3.9
Fresh fruits and vegetables,April,2018,2018,Mid point of prediction interval,0.1
Fresh fruits and vegetables,April,2018,2018,Lower bound of prediction interval,-3.6
Fresh fruits and vegetables,March,2018,2018,Upper bound of prediction interval,5.0
Fresh fruits and vegetables,March,2018,2018,Mid point of prediction interval,0.7
Fresh fruits and vegetables,March,2018,2018,Lower bound of prediction interval,-3.4
Fresh fruits and vegetables,February,2018,2018,Upper bound of prediction interval,6.8
Fresh fruits and vegetables,February,2018,2018,Mid point of prediction interval,1.9
